日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,6,4637.0,595.0,"[6, 1, 6, 6, 5, 5, 4, 5, 6, 2, 5, 4]","[6, 1, 6, 5, 4, 5, 6, 2, 5, 4]","[0, 45, 165, 225, 270, 330, 375, 435, 510, 555]"
,7,5183.0,706.5,"[7, 1, 4, 4, 2, 7, 2, 2, 6, 2, 5, 7, 3, 2, 2, 4, 0, 1]","[7, 1, 4, 2, 7, 2, 6, 2, 5, 7, 3]","[0, 45, 180, 225, 300, 360, 435, 495, 570, 615, 675]"
,5,4194.0,663.5,"[0, 2, 7, 1, 1, 5, 6, 1, 3, 5]","[0, 2, 7, 1, 5, 6, 1, 3, 5]","[0, 135, 210, 285, 375, 420, 480, 570, 630]"
,8,5153.0,715.5,"[6, 7, 5, 5, 4, 2, 0, 2, 7, 1, 5, 1, 7, 6, 3, 4, 2, 2]","[6, 7, 5, 4, 2, 0, 2, 7, 1, 5, 1]","[0, 45, 105, 150, 210, 285, 390, 450, 525, 630, 660]"
,4,4239.0,706.5,"[2, 0, 7, 1, 6, 1, 0, 3, 2, 0, 7, 5, 1, 5, 4, 2, 2, 4]","[2, 0, 7, 1, 6, 1, 0, 3, 2]","[0, 75, 195, 270, 360, 420, 510, 615, 675]"
,5,5161.0,724.0,"[2, 1, 2, 4, 2, 6, 6, 3, 2, 5, 6, 0, 7, 6, 4, 6, 3, 3]","[2, 1, 2, 4, 2, 6, 3, 2, 5, 6, 7]","[0, 75, 180, 255, 300, 375, 435, 510, 570, 615, 675]"
,6,3261.0,424.0,"[6, 6, 5, 2, 3, 3, 5, 7, 2, 2, 2]","[6, 5, 2, 3, 5, 7, 2]","[0, 45, 90, 180, 240, 300, 360]"
,4,4701.0,726.0,"[7, 0, 6, 5, 1, 2, 4, 1, 2, 7, 7, 3, 5, 6]","[7, 0, 6, 5, 1, 2, 4, 1, 2, 7]","[0, 45, 195, 270, 315, 405, 465, 525, 615, 675]"
,10,5170.0,709.0,"[4, 6, 0, 4, 4, 6, 5, 7, 7, 4, 1, 3, 3, 1, 5, 7, 4, 2, 0, 2]","[4, 6, 0, 4, 6, 5, 7, 4, 1, 3, 1]","[0, 30, 75, 210, 255, 330, 375, 450, 510, 600, 660]"
,8,5150.0,726.0,"[7, 5, 6, 6, 3, 3, 5, 3, 7, 1, 1, 3, 0, 1, 0, 3, 4, 6]","[7, 5, 6, 3, 5, 3, 7, 1, 3, 0, 3]","[0, 45, 105, 165, 240, 285, 360, 435, 525, 585, 690]"
,5,4238.0,760.5,"[3, 3, 0, 1, 0, 2, 6, 0, 6, 7, 2, 3, 6, 5, 6, 0]","[3, 0, 1, 0, 2, 6, 0, 6, 7]","[0, 60, 210, 300, 405, 465, 525, 645, 705]"
,2,4229.0,583.0,"[5, 4, 7, 6, 7, 0, 6, 7, 7, 1]","[5, 4, 7, 6, 7, 0, 6, 7, 1]","[0, 30, 75, 150, 195, 270, 375, 435, 495]"
,9,4652.0,578.0,"[6, 5, 6, 6, 4, 6, 7, 2, 2, 6, 2, 5]","[6, 5, 6, 4, 6, 7, 2, 6, 2, 5]","[0, 45, 90, 150, 210, 270, 345, 420, 465, 540]"
,2,5634.0,710.0,"[5, 4, 5, 4, 3, 3, 2, 7, 5, 4, 1, 3, 7, 5, 2, 6, 4, 1]","[5, 4, 5, 4, 3, 2, 7, 5, 4, 1, 3, 7]","[0, 30, 75, 135, 195, 270, 330, 405, 450, 510, 600, 660]"
,6,4698.0,708.0,"[1, 2, 3, 3, 6, 1, 2, 6, 4, 3, 0, 7, 2, 5, 0]","[1, 2, 3, 6, 1, 2, 6, 4, 3, 0]","[0, 120, 195, 270, 315, 420, 480, 555, 600, 660]"
,8,4219.0,643.5,"[7, 3, 3, 6, 6, 6, 3, 1, 6, 1, 4, 1]","[7, 3, 6, 3, 1, 6, 1, 4, 1]","[0, 45, 135, 195, 255, 345, 420, 510, 555]"
,6,5137.0,697.0,"[7, 4, 1, 6, 3, 7, 1, 1, 5, 6, 6, 2, 5]","[7, 4, 1, 6, 3, 7, 1, 5, 6, 2, 5]","[0, 45, 120, 210, 270, 345, 420, 510, 555, 615, 675]"
,2,3719.0,520.0,"[3, 2, 5, 1, 5, 5, 3, 3, 6, 3]","[3, 2, 5, 1, 5, 3, 6, 3]","[0, 60, 150, 195, 285, 345, 405, 465]"
,7,4215.0,564.0,"[4, 5, 5, 3, 3, 0, 0, 3, 7, 7, 7, 3, 6, 6, 5]","[4, 5, 3, 0, 3, 7, 3, 6, 5]","[0, 30, 75, 150, 255, 330, 390, 465, 525]"
,4,5154.0,713.5,"[3, 2, 6, 3, 6, 0, 4, 2, 5, 6, 6, 2, 0, 2, 2, 3, 6]","[3, 2, 6, 3, 6, 0, 4, 2, 5, 6, 2]","[0, 60, 150, 210, 270, 330, 435, 495, 555, 600, 660]"
,9,4725.0,714.0,"[0, 3, 2, 4, 0, 7, 1, 3, 6, 3]","[0, 3, 2, 4, 0, 7, 1, 3, 6, 3]","[0, 135, 210, 285, 330, 450, 525, 615, 660, 705]"
,10,4711.0,679.0,"[2, 4, 1, 2, 7, 2, 5, 5, 6, 0, 4, 0]","[2, 4, 1, 2, 7, 2, 5, 6, 0, 4]","[0, 75, 135, 225, 300, 360, 435, 480, 555, 660]"
,2,4718.0,700.0,"[4, 1, 1, 4, 4, 7, 5, 5, 4, 2, 6, 6, 0, 2, 1, 0]","[4, 1, 4, 7, 5, 4, 2, 6, 0, 2]","[0, 30, 165, 225, 285, 330, 390, 465, 525, 645]"
,8,5597.0,724.0,"[2, 7, 6, 6, 1, 6, 3, 0, 6, 6, 2, 5, 2, 5]","[2, 7, 6, 1, 6, 3, 0, 6, 2, 5, 2, 5]","[0, 75, 135, 195, 285, 345, 420, 525, 600, 660, 690, 705]"
,10,4674.0,660.0,"[4, 3, 6, 6, 5, 5, 6, 2, 2, 1, 3, 1, 2]","[4, 3, 6, 5, 6, 2, 1, 3, 1, 2]","[0, 30, 120, 180, 225, 285, 360, 450, 510, 600]"
,5,5582.0,696.0,"[5, 6, 1, 2, 1, 5, 4, 7, 4, 5, 3, 0, 1, 5]","[5, 6, 1, 2, 1, 5, 4, 7, 4, 5, 3, 5]","[0, 30, 60, 195, 255, 345, 405, 450, 525, 570, 630, 675]"
,9,4242.0,688.0,"[0, 3, 3, 1, 1, 4, 1, 4, 4, 4, 7, 1, 1, 6]","[0, 3, 1, 4, 1, 4, 7, 1, 6]","[0, 135, 210, 300, 360, 450, 495, 570, 660]"
,6,3769.0,585.0,"[3, 1, 4, 2, 4, 1, 2, 2, 2, 6, 6]","[3, 1, 4, 2, 4, 1, 2, 6]","[0, 60, 180, 240, 315, 375, 465, 525]"
,7,4661.0,714.0,"[2, 1, 0, 0, 6, 5, 0, 1, 5, 4, 6, 2, 7, 3, 1, 3, 3, 3, 6, 7]","[2, 1, 0, 6, 5, 0, 1, 5, 4, 6]","[0, 75, 180, 300, 360, 405, 525, 615, 660, 690]"
,9,4727.0,716.0,"[7, 1, 2, 3, 1, 2, 1, 7, 4, 4, 7, 6, 6, 6, 1, 6, 0]","[7, 1, 2, 3, 1, 2, 1, 7, 4, 7]","[0, 45, 180, 240, 315, 405, 480, 570, 630, 660]"
,2,4225.0,543.5,"[6, 7, 5, 7, 3, 6, 6, 6, 6, 3, 7, 7, 2, 2]","[6, 7, 5, 7, 3, 6, 3, 7, 2]","[0, 45, 105, 150, 210, 285, 345, 420, 480]"
,3,5195.0,726.0,"[4, 1, 7, 6, 0, 4, 4, 4, 5, 4, 3, 2, 7, 3, 7, 0, 4, 2, 2, 7]","[4, 1, 7, 6, 0, 4, 5, 4, 3, 2, 7]","[0, 30, 165, 225, 285, 390, 450, 495, 540, 600, 675]"
,3,4688.0,724.5,"[5, 0, 1, 4, 3, 1, 3, 5, 5, 5, 7, 0, 1, 0, 5, 7, 3]","[5, 0, 1, 4, 3, 1, 3, 5, 7, 0]","[0, 30, 180, 270, 315, 375, 480, 540, 585, 645]"
,10,4675.0,715.5,"[3, 7, 6, 0, 6, 2, 1, 6, 6, 0, 5, 5, 3, 2, 3, 0, 2, 4]","[3, 7, 6, 0, 6, 2, 1, 6, 0, 5]","[0, 60, 135, 195, 300, 375, 435, 540, 585, 705]"
,4,5567.0,710.0,"[5, 6, 6, 2, 5, 5, 3, 5, 5, 1, 7, 3, 5, 1, 2, 2, 5, 4, 0]","[5, 6, 2, 5, 3, 5, 1, 7, 3, 5, 1, 2]","[0, 30, 60, 150, 210, 270, 315, 405, 480, 540, 600, 675]"
,9,5586.0,741.5,"[3, 2, 4, 6, 4, 5, 2, 5, 1, 5, 1, 6, 5, 0]","[3, 2, 4, 6, 4, 5, 2, 5, 1, 5, 1, 6]","[0, 60, 150, 210, 270, 330, 375, 450, 495, 585, 630, 705]"
,9,5602.0,719.0,"[6, 6, 4, 2, 5, 6, 3, 5, 2, 6, 0, 4, 1, 6]","[6, 4, 2, 5, 6, 3, 5, 2, 6, 0, 4, 6]","[0, 45, 105, 180, 225, 285, 360, 405, 480, 540, 660, 690]"
