日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-26,10,6123.0,713,"[4, 6, 7, 4, 6, 2, 4, 6, 3, 4, 4, 3, 5, 2, 5, 4, 4, 5, 5]","[4, 6, 7, 4, 6, 2, 4, 6, 3, 4, 3, 5, 2]","[0, 30, 75, 135, 180, 255, 330, 390, 465, 510, 540, 585, 645]"
2022-07-26,10,5181.0,720,"[4, 2, 4, 0, 2, 5, 6, 4, 7, 0, 5, 0, 3, 1, 0, 2, 0, 0, 0, 2]","[4, 2, 4, 0, 2, 5, 6, 4, 7, 0, 5]","[0, 30, 135, 195, 315, 390, 435, 495, 525, 600, 705]"
2022-07-26,2,6153.0,725,"[6, 7, 4, 6, 3, 7, 2, 4, 3, 2, 3, 4, 4, 2, 6, 5, 3, 5, 0]","[6, 7, 4, 6, 3, 7, 2, 4, 3, 2, 3, 4, 2]","[0, 45, 90, 150, 195, 270, 345, 420, 465, 495, 570, 615, 645]"
2022-07-26,7,5176.0,708,"[6, 5, 0, 4, 2, 7, 0, 0, 0, 5, 5, 3, 0, 4, 3, 2, 4, 6, 0, 3]","[6, 5, 0, 4, 2, 7, 0, 5, 3, 0, 4]","[0, 45, 90, 195, 255, 330, 405, 510, 540, 585, 690]"
2022-07-26,7,5639.0,709,"[4, 6, 4, 4, 2, 7, 3, 1, 3, 3, 5, 4, 6, 1, 0, 4, 2, 1, 4, 4]","[4, 6, 4, 2, 7, 3, 1, 3, 5, 4, 6, 1]","[0, 30, 75, 120, 195, 270, 330, 420, 480, 525, 555, 630]"
2022-07-26,9,5638.0,675,"[3, 3, 7, 3, 6, 1, 5, 3, 3, 4, 3, 3, 6, 2, 4]","[3, 7, 3, 6, 1, 5, 3, 4, 3, 6, 2, 4]","[0, 75, 135, 195, 255, 345, 390, 435, 480, 525, 585, 660]"
2022-07-26,10,5624.0,680,"[4, 4, 5, 3, 2, 3, 5, 5, 5, 5, 0, 0, 3, 5, 3, 7, 2, 0]","[4, 5, 3, 2, 3, 5, 0, 3, 5, 3, 7, 2]","[0, 30, 60, 120, 195, 255, 300, 390, 450, 495, 540, 615]"
2022-07-26,10,6119.0,711,"[5, 6, 7, 4, 1, 0, 0, 0, 7, 4, 3, 2, 4, 5, 1, 3, 1, 2, 0]","[5, 6, 7, 4, 1, 0, 7, 4, 3, 2, 4, 5, 3]","[0, 30, 60, 120, 180, 270, 375, 450, 495, 540, 615, 645, 675]"
2022-07-26,8,4759.0,720,"[7, 2, 0, 3, 2, 4, 0, 0, 7, 4, 4, 4, 2, 1, 6, 0, 4, 3, 1, 4]","[7, 2, 0, 3, 2, 4, 0, 7, 4, 2]","[0, 45, 150, 255, 315, 375, 420, 525, 600, 645]"
2022-07-26,6,5682.0,706,"[7, 7, 4, 0, 3, 1, 4, 4, 5, 5, 4, 1, 7, 4, 0, 1, 4]","[7, 4, 0, 3, 1, 4, 5, 4, 1, 7, 4, 0]","[0, 45, 105, 135, 195, 285, 330, 375, 420, 510, 585, 630]"
2022-07-26,3,4704.0,563,"[4, 4, 3, 7, 2, 2, 5, 6, 7, 5, 4, 4, 7]","[4, 3, 7, 2, 5, 6, 7, 5, 4, 7]","[0, 30, 90, 165, 210, 255, 330, 405, 450, 495]"
2022-07-26,3,5597.0,722,"[5, 4, 2, 5, 0, 3, 3, 2, 6, 2, 5, 6, 3, 3, 3, 5, 7, 0, 7, 3]","[5, 4, 2, 5, 0, 3, 2, 6, 2, 5, 6, 3]","[0, 30, 75, 180, 210, 330, 375, 450, 510, 570, 615, 690]"
2022-07-26,9,5163.0,742,"[7, 2, 5, 5, 0, 5, 3, 6, 0, 7, 2, 3, 2, 1, 3, 5, 6, 4]","[7, 2, 5, 0, 5, 3, 6, 0, 7, 2, 3]","[0, 45, 150, 180, 300, 345, 405, 465, 555, 630, 705]"
2022-07-26,10,5592.0,719,"[5, 6, 4, 5, 6, 2, 0, 2, 5, 6, 7, 2, 6, 3, 0, 1, 1, 1, 1]","[5, 6, 4, 5, 6, 2, 0, 2, 5, 6, 7, 2]","[0, 30, 60, 120, 150, 210, 285, 390, 465, 510, 570, 645]"
2022-07-26,6,3740.0,530,"[4, 1, 6, 6, 3, 1, 2, 5, 5, 3]","[4, 1, 6, 3, 1, 2, 5, 3]","[0, 30, 165, 225, 285, 375, 450, 495]"
2022-07-26,3,5690.0,732,"[4, 7, 4, 6, 4, 7, 6, 1, 4, 2, 2, 7, 7, 0, 0, 0, 4, 1, 7, 1]","[4, 7, 4, 6, 4, 7, 6, 1, 4, 2, 7, 0]","[0, 30, 75, 135, 195, 240, 330, 405, 495, 510, 585, 645]"
2022-07-26,10,6126.0,719,"[7, 7, 3, 1, 3, 4, 2, 4, 4, 4, 0, 5, 3, 6, 2, 3, 5, 6, 1, 5]","[7, 3, 1, 3, 4, 2, 4, 0, 5, 3, 6, 2, 3]","[0, 45, 105, 135, 195, 240, 315, 375, 465, 495, 555, 615, 690]"
2022-07-26,6,5621.0,730,"[2, 5, 4, 5, 4, 7, 0, 3, 6, 5, 4, 1, 7, 3, 0, 4, 3, 5]","[2, 5, 4, 5, 4, 7, 0, 3, 6, 5, 4, 1]","[0, 120, 150, 195, 240, 285, 360, 465, 510, 570, 615, 645]"
2022-07-26,9,5613.0,707,"[5, 5, 7, 7, 6, 3, 2, 3, 7, 1, 0, 2, 5, 0, 6, 7]","[5, 7, 6, 3, 2, 3, 7, 1, 0, 2, 5, 6]","[0, 30, 75, 135, 195, 255, 315, 390, 480, 570, 645, 675]"
2022-07-26,7,5560.0,722,"[5, 1, 5, 3, 1, 4, 5, 4, 5, 2, 1, 5, 4, 1, 4, 0, 0, 3, 7]","[5, 1, 5, 3, 1, 4, 5, 4, 5, 2, 1, 5]","[0, 30, 165, 195, 255, 360, 420, 465, 495, 540, 600, 690]"
2022-07-26,9,5145.0,687,"[7, 7, 4, 6, 3, 5, 6, 5, 2, 7, 2, 1]","[7, 4, 6, 3, 5, 6, 5, 2, 7, 2, 1]","[0, 45, 105, 165, 225, 270, 345, 390, 465, 540, 600]"
2022-07-26,4,6109.0,707,"[6, 4, 7, 4, 4, 7, 4, 4, 1, 3, 2, 2, 5, 2, 1, 5, 6, 7, 3]","[6, 4, 7, 4, 7, 4, 1, 3, 2, 5, 2, 1, 5]","[0, 45, 105, 165, 210, 285, 345, 435, 480, 555, 600, 660, 675]"
2022-07-26,3,5156.0,700,"[1, 3, 2, 0, 0, 2, 3, 4, 5, 6, 6, 5, 4]","[1, 3, 2, 0, 2, 3, 4, 5, 6, 5, 4]","[0, 135, 195, 255, 360, 435, 480, 525, 570, 630, 675]"
2022-07-26,2,5631.0,716,"[2, 7, 0, 0, 7, 5, 3, 1, 5, 4, 5, 1, 4, 2, 3, 6, 2, 5, 3]","[2, 7, 0, 7, 5, 3, 1, 5, 4, 5, 4, 2]","[0, 120, 195, 315, 390, 435, 495, 570, 615, 645, 690, 705]"
2022-07-26,8,5184.0,718,"[3, 4, 7, 3, 3, 2, 6, 5, 2, 7, 3, 2, 1, 4, 4, 4, 2, 6, 5]","[3, 4, 7, 3, 2, 6, 5, 2, 7, 3, 2]","[0, 75, 120, 195, 255, 345, 405, 450, 525, 600, 645]"
2022-07-26,10,4677.0,712,"[1, 7, 5, 0, 3, 2, 6, 3, 0, 0, 5, 7, 5, 5, 5, 4, 2, 4, 4]","[1, 7, 5, 0, 3, 2, 6, 3, 0, 5]","[0, 135, 210, 255, 360, 420, 480, 555, 600, 705]"
2022-07-26,6,6078.0,724,"[5, 4, 4, 2, 2, 5, 4, 4, 7, 6, 5, 4, 1, 5, 5, 4, 2, 5, 0, 1]","[5, 4, 2, 5, 4, 7, 6, 5, 4, 1, 5, 4, 2]","[0, 30, 75, 180, 210, 270, 345, 405, 450, 495, 585, 630, 645]"
2022-07-26,3,5155.0,727,"[5, 6, 0, 5, 3, 3, 2, 2, 7, 3, 3, 3, 1, 7, 7, 0, 3, 6, 4]","[5, 6, 0, 5, 3, 2, 7, 3, 1, 7, 0]","[0, 30, 60, 180, 225, 285, 345, 435, 480, 570, 645]"
