日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,2,3309.0,443.5,"[6, 3, 3, 7, 2, 3, 3, 2, 2, 4]","[6, 3, 7, 2, 3, 2, 4]","[0, 45, 120, 180, 255, 330, 405]"
,10,6113.0,728.0,"[5, 6, 1, 4, 3, 4, 5, 4, 6, 4, 3, 7, 4, 2, 4, 6, 3, 2, 2]","[5, 6, 1, 4, 3, 4, 5, 4, 6, 4, 3, 7, 4]","[0, 30, 60, 195, 240, 315, 375, 420, 480, 540, 600, 645, 705]"
,7,6121.0,706.5,"[4, 4, 4, 5, 3, 3, 4, 3, 5, 5, 7, 3, 4, 7, 4, 5, 2, 4, 2, 7]","[4, 5, 3, 4, 3, 5, 7, 3, 4, 7, 4, 5, 2]","[0, 30, 75, 150, 210, 270, 315, 390, 450, 510, 570, 615, 660]"
,2,5672.0,727.5,"[5, 7, 7, 4, 2, 4, 7, 4, 7, 5, 3, 2, 0, 4, 1, 2, 4, 3]","[5, 7, 4, 2, 4, 7, 4, 7, 5, 3, 2, 0]","[0, 30, 75, 135, 210, 270, 330, 390, 465, 510, 585, 645]"
,9,6087.0,713.0,"[5, 7, 3, 2, 6, 3, 7, 7, 3, 5, 3, 5, 4, 2, 3, 3]","[5, 7, 3, 2, 6, 3, 7, 3, 5, 3, 5, 4, 2]","[0, 30, 75, 150, 225, 270, 345, 420, 480, 525, 585, 630, 660]"
,2,5677.0,716.0,"[3, 7, 4, 6, 4, 7, 3, 7, 1, 4, 3, 6, 2, 0, 1, 5, 2]","[3, 7, 4, 6, 4, 7, 3, 7, 1, 4, 3, 6]","[0, 60, 135, 180, 255, 300, 360, 435, 495, 585, 630, 690]"
,7,5224.0,620.0,"[4, 7, 2, 2, 2, 6, 4, 2, 4, 7, 4, 6, 6, 4]","[4, 7, 2, 6, 4, 2, 4, 7, 4, 6, 4]","[0, 30, 75, 165, 225, 270, 345, 405, 480, 525, 585]"
,9,4733.0,633.0,"[4, 4, 1, 4, 2, 4, 4, 7, 3, 5, 2, 4]","[4, 1, 4, 2, 4, 7, 3, 5, 2, 4]","[0, 30, 165, 225, 300, 345, 420, 480, 525, 600]"
,7,6083.0,707.0,"[5, 4, 7, 4, 7, 4, 4, 5, 4, 2, 5, 6, 6, 5, 1, 6, 4, 7, 5, 7]","[5, 4, 7, 4, 7, 4, 5, 4, 2, 5, 6, 5, 1]","[0, 30, 75, 150, 210, 270, 330, 375, 435, 495, 540, 600, 630]"
,4,6079.0,709.5,"[4, 3, 3, 1, 5, 6, 7, 7, 3, 6, 3, 6, 4, 5, 2, 4, 7]","[4, 3, 1, 5, 6, 7, 3, 6, 3, 6, 4, 5, 2]","[0, 30, 120, 210, 255, 315, 390, 450, 510, 585, 645, 675, 705]"
,7,5179.0,756.0,"[7, 1, 2, 5, 3, 6, 3, 4, 3, 0, 7, 4, 1, 1, 3, 5, 7]","[7, 1, 2, 5, 3, 6, 3, 4, 3, 0, 7]","[0, 45, 180, 240, 300, 360, 420, 480, 525, 600, 705]"
,8,5221.0,734.0,"[1, 6, 6, 6, 4, 3, 0, 2, 2, 7, 4, 7, 4, 7, 4, 0, 4, 5, 2]","[1, 6, 4, 3, 0, 2, 7, 4, 7, 4, 7]","[0, 120, 180, 240, 300, 405, 480, 540, 585, 660, 675]"
,7,5659.0,713.0,"[1, 6, 4, 5, 5, 4, 7, 3, 6, 4, 4, 7, 3, 4, 3, 1]","[1, 6, 4, 5, 4, 7, 3, 6, 4, 7, 3, 4]","[0, 120, 180, 240, 285, 345, 405, 480, 540, 585, 660, 690]"
,4,5668.0,712.5,"[7, 7, 6, 2, 1, 4, 7, 4, 7, 4, 7, 5, 1, 4, 1, 5, 0, 2, 6, 6]","[7, 6, 2, 1, 4, 7, 4, 7, 4, 7, 5, 1]","[0, 45, 90, 165, 255, 300, 375, 420, 495, 540, 600, 645]"
,8,5621.0,717.0,"[6, 2, 3, 7, 4, 5, 5, 7, 5, 4, 1, 5, 7, 7, 4, 4, 2, 4, 4, 1]","[6, 2, 3, 7, 4, 5, 7, 5, 4, 1, 5, 7]","[0, 45, 135, 195, 270, 315, 360, 435, 480, 525, 615, 660]"
,4,5714.0,725.0,"[4, 7, 4, 7, 4, 2, 7, 0, 4, 6, 7, 7, 3, 3, 0, 0, 2, 2, 3, 6]","[4, 7, 4, 7, 4, 2, 7, 0, 4, 6, 7, 3]","[0, 30, 75, 150, 210, 270, 345, 405, 525, 570, 630, 690]"
,9,5663.0,662.5,"[7, 3, 4, 3, 4, 7, 5, 6, 7, 4, 4, 4, 5, 4]","[7, 3, 4, 3, 4, 7, 5, 6, 7, 4, 5, 4]","[0, 45, 135, 180, 255, 300, 375, 420, 480, 540, 600, 630]"
,5,5630.0,711.0,"[4, 6, 2, 5, 0, 2, 1, 1, 3, 2, 2, 4, 4, 5, 2, 3, 0, 2, 3, 3]","[4, 6, 2, 5, 0, 2, 1, 3, 2, 4, 5, 2]","[0, 30, 75, 150, 210, 315, 390, 480, 540, 615, 645, 675]"
,8,6142.0,719.0,"[4, 4, 4, 3, 7, 5, 7, 3, 4, 5, 5, 4, 1, 4, 4, 2, 4, 3, 3, 3]","[4, 3, 7, 5, 7, 3, 4, 5, 4, 1, 4, 2, 4]","[0, 30, 120, 180, 225, 285, 360, 405, 465, 510, 600, 645, 705]"
,4,5662.0,715.5,"[2, 6, 7, 2, 7, 7, 3, 5, 7, 3, 4, 3, 3, 2, 6, 4]","[2, 6, 7, 2, 7, 3, 5, 7, 3, 4, 3, 2]","[0, 75, 120, 195, 255, 330, 390, 435, 495, 555, 615, 660]"
,8,6575.0,723.0,"[4, 6, 7, 3, 3, 1, 5, 5, 3, 4, 5, 2, 2, 1, 4, 4, 2, 0, 1, 3]","[4, 6, 7, 3, 1, 5, 3, 4, 5, 2, 1, 4, 2, 3]","[0, 30, 75, 135, 210, 300, 345, 420, 465, 510, 585, 660, 690, 705]"
,3,4759.0,601.0,"[4, 7, 2, 3, 4, 2, 7, 3, 3, 2, 4, 4]","[4, 7, 2, 3, 4, 2, 7, 3, 2, 4]","[0, 30, 75, 165, 225, 285, 360, 435, 495, 555]"
,8,5618.0,713.0,"[5, 7, 7, 0, 3, 5, 3, 6, 2, 3, 4, 5, 7, 5, 6, 4, 1, 4, 4]","[5, 7, 0, 3, 5, 3, 6, 2, 3, 4, 5, 7]","[0, 30, 75, 210, 270, 315, 375, 450, 510, 585, 630, 660]"
,10,6568.0,706.5,"[6, 7, 4, 4, 6, 5, 4, 3, 1, 6, 2, 4, 5, 4, 2]","[6, 7, 4, 6, 5, 4, 3, 1, 6, 2, 4, 5, 4, 2]","[0, 45, 105, 150, 210, 255, 315, 375, 465, 525, 600, 645, 675, 690]"
,3,6122.0,713.0,"[4, 4, 4, 5, 5, 4, 7, 5, 4, 2, 4, 5, 7, 4, 3, 1, 4]","[4, 5, 4, 7, 5, 4, 2, 4, 5, 7, 4, 3, 1]","[0, 30, 75, 135, 195, 240, 300, 375, 435, 480, 540, 585, 645]"
,9,5655.0,710.0,"[6, 4, 4, 7, 3, 7, 4, 4, 6, 5, 7, 6, 7, 0]","[6, 4, 7, 3, 7, 4, 6, 5, 7, 6, 7, 0]","[0, 45, 105, 180, 240, 300, 360, 420, 465, 525, 585, 660]"
,4,5653.0,676.5,"[4, 3, 4, 3, 4, 6, 2, 5, 2, 7, 4, 5]","[4, 3, 4, 3, 4, 6, 2, 5, 2, 7, 4, 5]","[0, 30, 120, 165, 240, 300, 360, 435, 480, 555, 615, 645]"
,7,5660.0,712.0,"[4, 3, 6, 4, 2, 4, 3, 3, 4, 3, 2, 5, 5, 1, 4, 2, 0]","[4, 3, 6, 4, 2, 4, 3, 4, 3, 2, 5, 1]","[0, 30, 120, 180, 225, 300, 360, 420, 480, 540, 600, 645]"
,10,5685.0,708.5,"[4, 3, 2, 3, 1, 6, 4, 3, 4, 7, 4, 3, 4, 1, 1, 0, 2, 0, 6]","[4, 3, 2, 3, 1, 6, 4, 3, 4, 7, 4, 3]","[0, 30, 120, 195, 255, 345, 420, 465, 525, 570, 645, 675]"
,9,6092.0,708.0,"[4, 3, 6, 3, 5, 2, 5, 2, 4, 2, 4, 3, 3, 5, 4, 5, 4, 3, 3]","[4, 3, 6, 3, 5, 2, 5, 2, 4, 2, 4, 3, 5]","[0, 30, 120, 180, 240, 300, 375, 420, 480, 525, 600, 645, 690]"
,9,6087.0,724.0,"[4, 6, 4, 5, 4, 3, 4, 5, 0, 5, 3, 5, 7, 7, 4, 4, 3, 4, 6]","[4, 6, 4, 5, 4, 3, 4, 5, 0, 5, 3, 5, 7]","[0, 30, 75, 135, 195, 240, 315, 375, 420, 540, 585, 645, 675]"
